Time,jake paul: (United States)
2021-02-01T21:00:00-05:00,60
2021-02-01T21:08:00-05:00,63
2021-02-01T21:16:00-05:00,48
2021-02-01T21:24:00-05:00,63
2021-02-01T21:32:00-05:00,53
2021-02-01T21:40:00-05:00,65
2021-02-01T21:48:00-05:00,57
2021-02-01T21:56:00-05:00,61
2021-02-01T22:04:00-05:00,54
2021-02-01T22:12:00-05:00,56
2021-02-01T22:20:00-05:00,53
2021-02-01T22:28:00-05:00,52
2021-02-01T22:36:00-05:00,65
